Item_Store_ID,Item_Store_Returns
DRA59_BABATUNJI010,1851.3213
DRA59_BABATUNJI013,9766.577
DRB01_BABATUNJI013,10087.301
DRB13_BABATUNJI010,1406.2244
DRB13_BABATUNJI013,8105.0996
DRB25_BABATUNJI017,4167.2065
DRB25_BABATUNJI027,9418.291
DRB25_BABATUNJI035,4683.2554
DRB48_BABATUNJI017,6461.765
DRB48_BABATUNJI027,8799.609
DRB48_BABATUNJI035,5649.4365
DRB48_BABATUNJI046,2599.7454
DRB48_BABATUNJI049,1801.5479
DRC01_BABATUNJI017,5677.956
DRC01_BABATUNJI018,1983.836
DRC01_BABATUNJI027,10609.274
DRC01_BABATUNJI045,5704.248
DRC01_BABATUNJI046,1913.0458
DRC13_BABATUNJI035,4145.9956
DRC13_BABATUNJI045,5993.0425
DRC25_BABATUNJI018,4027.185
DRC25_BABATUNJI019,550.51074
DRC25_BABATUNJI027,8404.915
DRC25_BABATUNJI045,4186.788
DRC25_BABATUNJI046,4065.318
DRC27_BABATUNJI010,1758.9061
DRC27_BABATUNJI018,5013.8003
DRC27_BABATUNJI049,7194.494
DRC36_BABATUNJI013,6862.7
DRD01_BABATUNJI017,3635.5935
DRD01_BABATUNJI018,1882.1759
DRD01_BABATUNJI035,3627.823
DRD01_BABATUNJI045,3622.891
DRD01_BABATUNJI049,2007.6635
DRD12_BABATUNJI017,4103.552
DRD12_BABATUNJI018,4009.23
DRD12_BABATUNJI027,10100.76
DRD12_BABATUNJI035,4110.4863
DRD12_BABATUNJI045,4225.59
DRD12_BABATUNJI046,3969.5466
DRD13_BABATUNJI017,4124.9937
DRD13_BABATUNJI018,3040.048
DRD13_BABATUNJI027,9279.133
DRD13_BABATUNJI035,4149.1406
DRD13_BABATUNJI045,4141.1914
DRD13_BABATUNJI049,3017.8848
DRD15_BABATUNJI010,1910.913
DRD15_BABATUNJI013,10889.254
DRD15_BABATUNJI046,10610.411
DRD15_BABATUNJI049,10111.491
DRD24_BABATUNJI027,9373.06
DRD25_BABATUNJI027,9893.229
DRD25_BABATUNJI035,3902.2349
DRD25_BABATUNJI045,3642.038
DRD27_BABATUNJI017,6964.033
DRD27_BABATUNJI019,587.9161
DRD27_BABATUNJI045,5376.5923
DRD37_BABATUNJI017,4842.041
DRD37_BABATUNJI018,2476.8997
DRD37_BABATUNJI045,5348.255
DRD37_BABATUNJI046,2468.724
DRD37_BABATUNJI049,2521.2422
DRD49_BABATUNJI046,10408.11
DRD60_BABATUNJI013,7387.387
DRE01_BABATUNJI010,2222.5188
DRE01_BABATUNJI046,11151.586
DRE03_BABATUNJI017,6486.056
DRE03_BABATUNJI018,1901.1484
DRE03_BABATUNJI035,5751.909
DRE03_BABATUNJI045,5595.171
DRE03_BABATUNJI046,1894.7256
DRE03_BABATUNJI049,1882.2952
DRE12_BABATUNJI027,10444.5
DRE12_BABATUNJI035,3351.981
DRE12_BABATUNJI045,5092.64
DRE13_BABATUNJI027,9486.009
DRE13_BABATUNJI035,4564.6187
DRE13_BABATUNJI045,5196.2866
DRE13_BABATUNJI049,3767.333
DRE15_BABATUNJI017,6658.45
DRE15_BABATUNJI018,2676.0576
DRE15_BABATUNJI019,500.38452
DRE15_BABATUNJI027,8410.097
DRE15_BABATUNJI045,5633.8145
DRE15_BABATUNJI046,3957.974
DRE25_BABATUNJI017,4025.2097
DRE25_BABATUNJI027,9231.647
DRE25_BABATUNJI035,4478.1943
DRE27_BABATUNJI035,4608.9097
DRE27_BABATUNJI045,4581.4707
DRE48_BABATUNJI013,6298.877
DRE48_BABATUNJI046,6322.1714
DRE60_BABATUNJI013,12237.753
DRF03_BABATUNJI018,2238.3367
DRF03_BABATUNJI027,8949.577
DRF03_BABATUNJI035,3671.5789
DRF03_BABATUNJI045,3724.5337
DRF03_BABATUNJI046,1927.0045
DRF03_BABATUNJI049,1908.9414
DRF25_BABATUNJI019,480.1385
DRF25_BABATUNJI027,8282.948
DRF25_BABATUNJI035,3574.2861
DRF25_BABATUNJI045,3550.9849
DRF25_BABATUNJI046,2056.5894
DRF25_BABATUNJI049,2140.3186
DRF36_BABATUNJI010,1832.998
DRF37_BABATUNJI013,8550.816
DRF37_BABATUNJI018,7313.0713
DRF37_BABATUNJI035,10298.403
DRF37_BABATUNJI045,8305.153
DRF49_BABATUNJI035,5306.0806
DRF49_BABATUNJI045,4406.5674
DRF51_BABATUNJI018,3434.84
DRF51_BABATUNJI045,4432.108
DRF51_BABATUNJI046,3231.19
DRF60_BABATUNJI018,9448.771
DRF60_BABATUNJI049,8851.733
DRG01_BABATUNJI019,539.5257
DRG01_BABATUNJI027,9292.615
DRG01_BABATUNJI035,3749.9695
DRG01_BABATUNJI046,2498.4976
DRG11_BABATUNJI045,3730.2498
DRG15_BABATUNJI017,3917.053
DRG15_BABATUNJI035,3941.6174
DRG15_BABATUNJI045,3942.462
DRG15_BABATUNJI046,2340.9949
DRG15_BABATUNJI049,2279.9426
DRG25_BABATUNJI013,9279.767
DRG27_BABATUNJI018,2430.9482
DRG27_BABATUNJI019,486.3087
DRG27_BABATUNJI045,4725.022
DRG27_BABATUNJI046,2297.0205
DRG27_BABATUNJI049,2380.1206
DRG36_BABATUNJI013,7346.95
DRG39_BABATUNJI018,1988.7982
DRG39_BABATUNJI046,1928.7146
DRG39_BABATUNJI049,1854.6151
DRG49_BABATUNJI010,1330.501
DRG49_BABATUNJI018,7896.499
DRH03_BABATUNJI018,3759.3057
DRH03_BABATUNJI019,663.76135
DRH03_BABATUNJI035,4188.64
DRH11_BABATUNJI027,9893.229
DRH11_BABATUNJI045,3875.6238
DRH11_BABATUNJI049,2362.9282
DRH13_BABATUNJI019,774.93134
DRH13_BABATUNJI045,4734.1807
DRH15_BABATUNJI018,2133.172
DRH15_BABATUNJI019,460.7534
DRH15_BABATUNJI046,2052.9355
DRH23_BABATUNJI017,5369.322
DRH23_BABATUNJI019,593.8005
DRH23_BABATUNJI045,5315.4136
DRH23_BABATUNJI049,2247.7373
DRH25_BABATUNJI017,7051.54
DRH25_BABATUNJI027,7900.993
DRH25_BABATUNJI035,5644.85
DRH25_BABATUNJI045,5445.7446
DRH36_BABATUNJI017,3876.8916
DRH36_BABATUNJI019,605.8425
DRH36_BABATUNJI035,3860.9663
DRH36_BABATUNJI045,3903.3203
DRH36_BABATUNJI046,2583.1572
DRH39_BABATUNJI017,3850.438
DRH39_BABATUNJI019,504.33972
DRH39_BABATUNJI027,8543.396
DRH39_BABATUNJI046,4297.5137
DRH39_BABATUNJI049,2500.3518
DRH49_BABATUNJI018,2857.245
DRH49_BABATUNJI019,525.99884
DRH49_BABATUNJI046,2849.7715
DRH51_BABATUNJI019,639.0843
DRH51_BABATUNJI027,10178.332
DRH51_BABATUNJI035,3905.8672
DRH51_BABATUNJI049,3829.6318
DRH59_BABATUNJI046,2507.0571
DRH59_BABATUNJI049,3766.2678
DRI01_BABATUNJI013,7565.063
DRI03_BABATUNJI013,7517.191
DRI11_BABATUNJI027,8597.006
DRI11_BABATUNJI035,4182.5586
